Experiment,1
Plot title,My experiment

Number of,2
plots

Number of,2001
points

Time,N,Square root of C at cutoff distance
99.6,1.24738,1.1891
99.7,1.24489,1.18663
99.8,1.24241,1.18417
99.9,1.23993,1.18171
100,1.23746,1.17926
100.1,1.23499,1.17681
100.2,1.23253,1.17437
100.3,1.23007,1.17194
100.4,1.22762,1.16951
100.5,1.22518,1.16708
100.6,1.22273,1.16466
100.7,1.2203,1.16225
100.8,1.21787,1.15984
100.9,1.21544,1.15744
101,1.21302,1.15504
101.1,1.2106,1.15264
101.2,1.20819,1.15026
101.3,1.20578,1.14787
101.4,1.20338,1.1455
101.5,1.20099,1.14312
101.6,1.19859,1.14076
101.7,1.19621,1.1384
101.8,1.19383,1.13604
101.9,1.19145,1.13369
102,1.18908,1.13134
102.1,1.18671,1.129
102.2,1.18435,1.12666
102.3,1.18199,1.12433
102.4,1.17964,1.12201
102.5,1.17729,1.11969
102.6,1.17495,1.11737
102.7,1.17261,1.11506
102.8,1.17028,1.11276
102.9,1.16795,1.11046
103,1.16562,1.10816
103.1,1.1633,1.10587
103.2,1.16099,1.10359
103.3,1.15868,1.1013
103.4,1.15638,1.09903
103.5,1.15408,1.09676
103.6,1.15178,1.09449
103.7,1.14949,1.09223
103.8,1.1472,1.08998
103.9,1.14492,1.08773
104,1.14265,1.08548
104.1,1.14037,1.08324
104.2,1.13811,1.08101
104.3,1.13584,1.07877
104.4,1.13359,1.07655
104.5,1.13133,1.07433
104.6,1.12908,1.07211
104.7,1.12684,1.0699
104.8,1.1246,1.06769
104.9,1.12237,1.06549
105,1.12014,1.06329
105.1,1.11791,1.0611
105.2,1.11569,1.05891
105.3,1.11347,1.05673
105.4,1.11126,1.05455
105.5,1.10905,1.05238
105.6,1.10685,1.05021
105.7,1.10465,1.04805
105.8,1.10246,1.04589
105.9,1.10027,1.04373
106,1.09808,1.04158
106.1,1.0959,1.03944
106.2,1.09373,1.0373
106.3,1.09155,1.03516
106.4,1.08939,1.03303
106.5,1.08722,1.03091
106.6,1.08507,1.02878
106.7,1.08291,1.02667
106.8,1.08076,1.02455
106.9,1.07862,1.02245
107,1.07648,1.02034
107.1,1.07434,1.01824
107.2,1.07221,1.01615
107.3,1.07008,1.01406
107.4,1.06796,1.01197
107.5,1.06584,1.00989
107.6,1.06372,1.00782
107.7,1.06161,1.00575
107.8,1.05951,1.00368
107.9,1.0574,1.00162
108,1.05531,0.999558
108.1,1.05321,0.997504
108.2,1.05112,0.995455
108.3,1.04904,0.99341
108.4,1.04696,0.99137
108.5,1.04488,0.989334
108.6,1.04281,0.987303
108.7,1.04074,0.985275
108.8,1.03868,0.983253
108.9,1.03662,0.981234
109,1.03456,0.97922
109.1,1.03251,0.977211
109.2,1.03047,0.975205
109.3,1.02842,0.973205
109.4,1.02639,0.971208
109.5,1.02435,0.969216
109.6,1.02232,0.967228
109.7,1.02029,0.965244
109.8,1.01827,0.963265
109.9,1.01625,0.96129
110,1.01424,0.959319
110.1,1.01223,0.957352
110.2,1.01023,0.95539
110.3,1.00822,0.953432
110.4,1.00623,0.951478
110.5,1.00423,0.949528
110.6,1.00224,0.947583
110.7,1.00026,0.945642
110.8,0.998278,0.943705
110.9,0.996301,0.941772
111,0.994328,0.939843
111.1,0.992359,0.937919
111.2,0.990393,0.935998
111.3,0.988432,0.934082
111.4,0.986475,0.93217
111.5,0.984522,0.930262
111.6,0.982573,0.928358
111.7,0.980627,0.926459
111.8,0.978686,0.924563
111.9,0.976749,0.922672
112,0.974815,0.920784
112.1,0.972886,0.918901
112.2,0.97096,0.917021
112.3,0.969038,0.915146
112.4,0.967121,0.913275
112.5,0.965207,0.911408
112.6,0.963297,0.909545
112.7,0.961391,0.907685
112.8,0.959488,0.90583
112.9,0.95759,0.903979
113,0.955695,0.902132
113.1,0.953805,0.900289
113.2,0.951918,0.898449
113.3,0.950035,0.896614
113.4,0.948155,0.894783
113.5,0.94628,0.892955
113.6,0.944408,0.891132
113.7,0.94254,0.889312
113.8,0.940676,0.887496
113.9,0.938816,0.885685
114,0.936959,0.883877
114.1,0.935107,0.882073
114.2,0.933258,0.880273
114.3,0.931412,0.878476
114.4,0.929571,0.876684
114.5,0.927733,0.874896
114.6,0.925899,0.873111
114.7,0.924069,0.87133
114.8,0.922242,0.869553
114.9,0.920419,0.86778
115,0.9186,0.86601
115.1,0.916784,0.864244
115.2,0.914972,0.862483
115.3,0.913164,0.860725
115.4,0.911359,0.85897
115.5,0.909558,0.85722
115.6,0.907761,0.855473
115.7,0.905967,0.85373
115.8,0.904177,0.85199
115.9,0.902391,0.850255
116,0.900608,0.848523
116.1,0.898829,0.846795
116.2,0.897053,0.84507
116.3,0.895281,0.843349
116.4,0.893513,0.841632
116.5,0.891748,0.839919
116.6,0.889986,0.838209
116.7,0.888229,0.836503
116.8,0.886474,0.8348
116.9,0.884724,0.833102
117,0.882976,0.831406
117.1,0.881233,0.829715
117.2,0.879493,0.828027
117.3,0.877756,0.826342
117.4,0.876023,0.824662
117.5,0.874294,0.822984
117.6,0.872567,0.821311
117.7,0.870845,0.819641
117.8,0.869126,0.817974
117.9,0.86741,0.816311
118,0.865698,0.814652
118.1,0.863989,0.812996
118.2,0.862284,0.811344
118.3,0.860582,0.809695
118.4,0.858884,0.80805
118.5,0.857189,0.806408
118.6,0.855497,0.80477
118.7,0.853809,0.803135
118.8,0.852124,0.801504
118.9,0.850443,0.799876
119,0.848765,0.798252
119.1,0.84709,0.796631
119.2,0.845419,0.795013
119.3,0.843751,0.793399
119.4,0.842086,0.791789
119.5,0.840425,0.790182
119.6,0.838767,0.788578
119.7,0.837113,0.786978
119.8,0.835462,0.785381
119.9,0.833814,0.783787
120,0.83217,0.782197
120.1,0.830528,0.780611
120.2,0.828891,0.779027
120.3,0.827256,0.777447
120.4,0.825625,0.775871
120.5,0.823997,0.774297
120.6,0.822372,0.772727
120.7,0.82075,0.771161
120.8,0.819132,0.769598
120.9,0.817517,0.768038
121,0.815906,0.766481
121.1,0.814297,0.764928
121.2,0.812692,0.763378
121.3,0.81109,0.761831
121.4,0.809491,0.760287
121.5,0.807896,0.758747
121.6,0.806303,0.75721
121.7,0.804714,0.755676
121.8,0.803128,0.754146
121.9,0.801545,0.752619
122,0.799966,0.751095
122.1,0.798389,0.749574
122.2,0.796816,0.748057
122.3,0.795246,0.746542
122.4,0.793679,0.745031
122.5,0.792115,0.743523
122.6,0.790555,0.742019
122.7,0.788997,0.740517
122.8,0.787443,0.739019
122.9,0.785892,0.737524
123,0.784344,0.736032
123.1,0.782799,0.734543
123.2,0.781257,0.733057
123.3,0.779718,0.731575
123.4,0.778182,0.730095
123.5,0.776649,0.728619
123.6,0.77512,0.727146
123.7,0.773593,0.725676
123.8,0.77207,0.724209
123.9,0.77055,0.722745
124,0.769032,0.721284
124.1,0.767518,0.719826
124.2,0.766007,0.718372
124.3,0.764498,0.71692
124.4,0.762993,0.715472
124.5,0.761491,0.714026
124.6,0.759992,0.712584
124.7,0.758496,0.711144
124.8,0.757003,0.709708
124.9,0.755513,0.708275
125,0.754025,0.706845
125.1,0.752541,0.705417
125.2,0.75106,0.703993
125.3,0.749582,0.702572
125.4,0.748106,0.701153
125.5,0.746634,0.699738
125.6,0.745165,0.698326
125.7,0.743698,0.696917
125.8,0.742235,0.69551
125.9,0.740774,0.694107
126,0.739317,0.692706
126.1,0.737862,0.691309
126.2,0.73641,0.689914
126.3,0.734961,0.688523
126.4,0.733515,0.687134
126.5,0.732072,0.685748
126.6,0.730632,0.684365
126.7,0.729195,0.682985
126.8,0.72776,0.681608
126.9,0.726329,0.680234
127,0.7249,0.678863
127.1,0.723474,0.677494
127.2,0.722051,0.676129
127.3,0.720631,0.674766
127.4,0.719214,0.673406
127.5,0.717799,0.672049
127.6,0.716388,0.670695
127.7,0.714979,0.669344
127.8,0.713573,0.667995
127.9,0.71217,0.66665
128,0.710769,0.665307
128.1,0.709372,0.663967
128.2,0.707977,0.662629
128.3,0.706585,0.661295
128.4,0.705196,0.659963
128.5,0.703809,0.658635
128.6,0.702426,0.657309
128.7,0.701045,0.655985
128.8,0.699667,0.654665
128.9,0.698291,0.653347
129,0.696919,0.652032
129.1,0.695549,0.65072
129.2,0.694182,0.64941
129.3,0.692817,0.648103
129.4,0.691456,0.646799
129.5,0.690097,0.645498
129.6,0.688741,0.6442
129.7,0.687387,0.642904
129.8,0.686036,0.641611
129.9,0.684688,0.64032
130,0.683343,0.639032
130.1,0.682,0.637747
130.2,0.68066,0.636465
130.3,0.679323,0.635185
130.4,0.677988,0.633908
130.5,0.676656,0.632634
130.6,0.675326,0.631362
130.7,0.674,0.630093
130.8,0.672676,0.628827
130.9,0.671354,0.627563
131,0.670035,0.626302
131.1,0.668719,0.625043
131.2,0.667406,0.623787
131.3,0.666095,0.622534
131.4,0.664786,0.621284
131.5,0.663481,0.620036
131.6,0.662178,0.61879
131.7,0.660877,0.617547
131.8,0.659579,0.616307
131.9,0.658284,0.61507
132,0.656991,0.613835
132.1,0.655701,0.612602
132.2,0.654414,0.611372
132.3,0.653129,0.610145
132.4,0.651846,0.60892
132.5,0.650566,0.607698
132.6,0.649289,0.606478
132.7,0.648014,0.605261
132.8,0.646742,0.604047
132.9,0.645472,0.602835
133,0.644205,0.601625
133.1,0.64294,0.600418
133.2,0.641678,0.599214
133.3,0.640419,0.598012
133.4,0.639162,0.596812
133.5,0.637907,0.595615
133.6,0.636655,0.594421
133.7,0.635405,0.593229
133.8,0.634158,0.592039
133.9,0.632914,0.590852
134,0.631672,0.589668
134.1,0.630432,0.588486
134.2,0.629195,0.587306
134.3,0.62796,0.586129
134.4,0.626728,0.584954
134.5,0.625498,0.583782
134.6,0.624271,0.582612
134.7,0.623046,0.581444
134.8,0.621823,0.58028
134.9,0.620603,0.579117
135,0.619386,0.577957
135.1,0.61817,0.576799
135.2,0.616958,0.575644
135.3,0.615747,0.574491
135.4,0.614539,0.57334
135.5,0.613334,0.572192
135.6,0.612131,0.571046
135.7,0.61093,0.569903
135.8,0.609732,0.568762
135.9,0.608536,0.567623
136,0.607342,0.566487
136.1,0.606151,0.565353
136.2,0.604962,0.564222
136.3,0.603776,0.563093
136.4,0.602591,0.561966
136.5,0.60141,0.560841
136.6,0.60023,0.559719
136.7,0.599053,0.558599
136.8,0.597878,0.557482
136.9,0.596706,0.556367
137,0.595536,0.555254
137.1,0.594368,0.554143
137.2,0.593203,0.553035
137.3,0.59204,0.551929
137.4,0.590879,0.550825
137.5,0.589721,0.549724
137.6,0.588564,0.548625
137.7,0.587411,0.547528
137.8,0.586259,0.546433
137.9,0.58511,0.545341
138,0.583963,0.544251
138.1,0.582818,0.543163
138.2,0.581676,0.542078
138.3,0.580535,0.540995
138.4,0.579398,0.539914
138.5,0.578262,0.538835
138.6,0.577129,0.537758
138.7,0.575997,0.536684
138.8,0.574869,0.535612
138.9,0.573742,0.534542
139,0.572618,0.533474
139.1,0.571495,0.532409
139.2,0.570375,0.531346
139.3,0.569258,0.530285
139.4,0.568142,0.529226
139.5,0.567029,0.528169
139.6,0.565918,0.527115
139.7,0.564809,0.526062
139.8,0.563702,0.525012
139.9,0.562598,0.523964
140,0.561496,0.522918
140.1,0.560396,0.521875
140.2,0.559298,0.520833
140.3,0.558202,0.519794
140.4,0.557108,0.518757
140.5,0.556017,0.517722
140.6,0.554928,0.516689
140.7,0.553841,0.515658
140.8,0.552756,0.514629
140.9,0.551673,0.513603
141,0.550593,0.512578
141.1,0.549514,0.511556
141.2,0.548438,0.510536
141.3,0.547364,0.509518
141.4,0.546292,0.508502
141.5,0.545222,0.507488
141.6,0.544154,0.506476
141.7,0.543088,0.505466
141.8,0.542025,0.504459
141.9,0.540963,0.503453
142,0.539904,0.50245
142.1,0.538847,0.501448
142.2,0.537792,0.500449
142.3,0.536739,0.499452
142.4,0.535688,0.498457
142.5,0.534639,0.497463
142.6,0.533592,0.496472
142.7,0.532547,0.495483
142.8,0.531505,0.494496
142.9,0.530464,0.493511
143,0.529426,0.492528
143.1,0.528389,0.491547
143.2,0.527355,0.490568
143.3,0.526322,0.489591
143.4,0.525292,0.488616
143.5,0.524264,0.487643
143.6,0.523238,0.486673
143.7,0.522213,0.485704
143.8,0.521191,0.484737
143.9,0.520171,0.483772
144,0.519153,0.482809
144.1,0.518137,0.481848
144.2,0.517123,0.480889
144.3,0.516111,0.479932
144.4,0.515101,0.478977
144.5,0.514093,0.478024
144.6,0.513087,0.477073
144.7,0.512083,0.476124
144.8,0.511081,0.475176
144.9,0.51008,0.474231
145,0.509082,0.473288
145.1,0.508086,0.472346
145.2,0.507092,0.471407
145.3,0.5061,0.470469
145.4,0.50511,0.469534
145.5,0.504121,0.4686
145.6,0.503135,0.467668
145.7,0.502151,0.466739
145.8,0.501168,0.465811
145.9,0.500188,0.464885
146,0.499209,0.463961
146.1,0.498233,0.463038
146.2,0.497258,0.462118
146.3,0.496285,0.4612
146.4,0.495314,0.460283
146.5,0.494346,0.459368
146.6,0.493379,0.458456
146.7,0.492414,0.457545
146.8,0.49145,0.456636
146.9,0.490489,0.455728
147,0.48953,0.454823
147.1,0.488572,0.45392
147.2,0.487617,0.453018
147.3,0.486663,0.452118
147.4,0.485711,0.45122
147.5,0.484762,0.450324
147.6,0.483814,0.44943
147.7,0.482867,0.448538
147.8,0.481923,0.447647
147.9,0.480981,0.446758
148,0.48004,0.445871
148.1,0.479102,0.444986
148.2,0.478165,0.444103
148.3,0.47723,0.443222
148.4,0.476297,0.442342
148.5,0.475366,0.441464
148.6,0.474436,0.440588
148.7,0.473509,0.439714
148.8,0.472583,0.438841
148.9,0.471659,0.43797
149,0.470737,0.437102
149.1,0.469817,0.436234
149.2,0.468898,0.435369
149.3,0.467981,0.434505
149.4,0.467067,0.433644
149.5,0.466154,0.432783
149.6,0.465242,0.431925
149.7,0.464333,0.431069
149.8,0.463425,0.430214
149.9,0.46252,0.429361
150,0.461616,0.428509
150.1,0.460713,0.42766
150.2,0.459813,0.426812
150.3,0.458914,0.425966
150.4,0.458017,0.425122
150.5,0.457122,0.424279
150.6,0.456229,0.423438
150.7,0.455337,0.422599
150.8,0.454447,0.421761
150.9,0.453559,0.420926
151,0.452673,0.420092
151.1,0.451788,0.419259
151.2,0.450906,0.418429
151.3,0.450025,0.4176
151.4,0.449145,0.416772
151.5,0.448268,0.415947
151.6,0.447392,0.415123
151.7,0.446518,0.414301
151.8,0.445645,0.41348
151.9,0.444775,0.412661
152,0.443906,0.411844
152.1,0.443038,0.411029
152.2,0.442173,0.410215
152.3,0.441309,0.409402
152.4,0.440447,0.408592
152.5,0.439586,0.407783
152.6,0.438728,0.406976
152.7,0.437871,0.40617
152.8,0.437015,0.405366
152.9,0.436162,0.404564
153,0.43531,0.403763
153.1,0.434459,0.402964
153.2,0.433611,0.402167
153.3,0.432764,0.401371
153.4,0.431919,0.400577
153.5,0.431075,0.399784
153.6,0.430233,0.398993
153.7,0.429393,0.398204
153.8,0.428554,0.397416
153.9,0.427717,0.39663
154,0.426882,0.395846
154.1,0.426048,0.395063
154.2,0.425216,0.394282
154.3,0.424386,0.393502
154.4,0.423557,0.392724
154.5,0.42273,0.391947
154.6,0.421905,0.391172
154.7,0.421081,0.390399
154.8,0.420259,0.389627
154.9,0.419438,0.388857
155,0.418619,0.388088
155.1,0.417802,0.387321
155.2,0.416986,0.386555
155.3,0.416172,0.385791
155.4,0.415359,0.385029
155.5,0.414548,0.384268
155.6,0.413739,0.383509
155.7,0.412931,0.382751
155.8,0.412125,0.381995
155.9,0.411321,0.38124
156,0.410518,0.380487
156.1,0.409716,0.379735
156.2,0.408916,0.378985
156.3,0.408118,0.378236
156.4,0.407322,0.377489
156.5,0.406526,0.376744
156.6,0.405733,0.376
156.7,0.404941,0.375257
156.8,0.404151,0.374516
156.9,0.403362,0.373777
157,0.402575,0.373039
157.1,0.401789,0.372302
157.2,0.401005,0.371567
157.3,0.400222,0.370833
157.4,0.399441,0.370101
157.5,0.398661,0.369371
157.6,0.397883,0.368642
157.7,0.397107,0.367914
157.8,0.396332,0.367188
157.9,0.395558,0.366463
158,0.394787,0.36574
158.1,0.394016,0.365018
158.2,0.393247,0.364298
158.3,0.39248,0.363579
158.4,0.391714,0.362862
158.5,0.39095,0.362146
158.6,0.390187,0.361432
158.7,0.389426,0.360719
158.8,0.388666,0.360007
158.9,0.387908,0.359297
159,0.387151,0.358588
159.1,0.386395,0.357881
159.2,0.385642,0.357175
159.3,0.384889,0.356471
159.4,0.384138,0.355768
159.5,0.383389,0.355067
159.6,0.382641,0.354366
159.7,0.381894,0.353668
159.8,0.381149,0.352971
159.9,0.380406,0.352275
160,0.379664,0.35158
160.1,0.378923,0.350887
160.2,0.378184,0.350196
160.3,0.377446,0.349505
160.4,0.37671,0.348817
160.5,0.375975,0.348129
160.6,0.375242,0.347443
160.7,0.37451,0.346758
160.8,0.37378,0.346075
160.9,0.373051,0.345393
161,0.372323,0.344713
161.1,0.371597,0.344033
161.2,0.370872,0.343356
161.3,0.370149,0.342679
161.4,0.369427,0.342004
161.5,0.368707,0.341331
161.6,0.367988,0.340658
161.7,0.36727,0.339987
161.8,0.366554,0.339318
161.9,0.365839,0.33865
162,0.365126,0.337983
162.1,0.364414,0.337317
162.2,0.363703,0.336653
162.3,0.362994,0.33599
162.4,0.362286,0.335329
162.5,0.36158,0.334668
162.6,0.360875,0.334009
162.7,0.360171,0.333352
162.8,0.359469,0.332696
162.9,0.358768,0.332041
163,0.358068,0.331387
163.1,0.35737,0.330735
163.2,0.356674,0.330084
163.3,0.355978,0.329435
163.4,0.355284,0.328786
163.5,0.354592,0.328139
163.6,0.3539,0.327494
163.7,0.35321,0.326849
163.8,0.352522,0.326206
163.9,0.351835,0.325564
164,0.351149,0.324924
164.1,0.350464,0.324285
164.2,0.349781,0.323647
164.3,0.349099,0.32301
164.4,0.348419,0.322375
164.5,0.34774,0.321741
164.6,0.347062,0.321108
164.7,0.346385,0.320477
164.8,0.34571,0.319846
164.9,0.345037,0.319217
165,0.344364,0.31859
165.1,0.343693,0.317963
165.2,0.343023,0.317338
165.3,0.342355,0.316714
165.4,0.341687,0.316092
165.5,0.341021,0.31547
165.6,0.340357,0.31485
165.7,0.339694,0.314231
165.8,0.339032,0.313613
165.9,0.338371,0.312997
166,0.337711,0.312382
166.1,0.337053,0.311768
166.2,0.336397,0.311155
166.3,0.335741,0.310544
166.4,0.335087,0.309933
166.5,0.334434,0.309324
166.6,0.333782,0.308717
166.7,0.333132,0.30811
166.8,0.332483,0.307505
166.9,0.331835,0.306901
167,0.331188,0.306298
167.1,0.330543,0.305696
167.2,0.329899,0.305096
167.3,0.329256,0.304496
167.4,0.328615,0.303898
167.5,0.327975,0.303301
167.6,0.327336,0.302706
167.7,0.326698,0.302111
167.8,0.326062,0.301518
167.9,0.325426,0.300926
168,0.324792,0.300335
168.1,0.32416,0.299745
168.2,0.323528,0.299157
168.3,0.322898,0.298569
168.4,0.322269,0.297983
168.5,0.321641,0.297398
168.6,0.321015,0.296814
168.7,0.320389,0.296232
168.8,0.319765,0.29565
168.9,0.319142,0.29507
169,0.318521,0.294491
169.1,0.3179,0.293913
169.2,0.317281,0.293336
169.3,0.316663,0.29276
169.4,0.316047,0.292186
169.5,0.315431,0.291612
169.6,0.314817,0.29104
169.7,0.314204,0.290469
169.8,0.313592,0.289899
169.9,0.312981,0.28933
170,0.312371,0.288762
170.1,0.311763,0.288196
170.2,0.311156,0.287631
170.3,0.31055,0.287066
170.4,0.309945,0.286503
170.5,0.309342,0.285941
170.6,0.308739,0.28538
170.7,0.308138,0.284821
170.8,0.307538,0.284262
170.9,0.306939,0.283704
171,0.306341,0.283148
171.1,0.305745,0.282593
171.2,0.30515,0.282039
171.3,0.304555,0.281486
171.4,0.303962,0.280934
171.5,0.303371,0.280383
171.6,0.30278,0.279833
171.7,0.30219,0.279284
171.8,0.301602,0.278737
171.9,0.301015,0.27819
172,0.300429,0.277645
172.1,0.299844,0.277101
172.2,0.29926,0.276557
172.3,0.298678,0.276015
172.4,0.298096,0.275474
172.5,0.297516,0.274934
172.6,0.296937,0.274396
172.7,0.296358,0.273858
172.8,0.295782,0.273321
172.9,0.295206,0.272785
173,0.294631,0.272251
173.1,0.294058,0.271717
173.2,0.293485,0.271185
173.3,0.292914,0.270654
173.4,0.292344,0.270123
173.5,0.291775,0.269594
173.6,0.291207,0.269066
173.7,0.29064,0.268539
173.8,0.290074,0.268013
173.9,0.28951,0.267488
174,0.288946,0.266964
174.1,0.288384,0.266441
174.2,0.287822,0.265919
174.3,0.287262,0.265398
174.4,0.286703,0.264878
174.5,0.286145,0.264359
174.6,0.285588,0.263842
174.7,0.285032,0.263325
174.8,0.284478,0.262809
174.9,0.283924,0.262295
175,0.283372,0.261781
175.1,0.28282,0.261268
175.2,0.28227,0.260757
175.3,0.28172,0.260246
175.4,0.281172,0.259737
175.5,0.280625,0.259228
175.6,0.280079,0.258721
175.7,0.279534,0.258214
175.8,0.27899,0.257709
175.9,0.278447,0.257204
176,0.277905,0.256701
176.1,0.277365,0.256198
176.2,0.276825,0.255697
176.3,0.276286,0.255196
176.4,0.275749,0.254697
176.5,0.275212,0.254199
176.6,0.274677,0.253701
176.7,0.274142,0.253205
176.8,0.273609,0.252709
176.9,0.273076,0.252215
177,0.272545,0.251721
177.1,0.272015,0.251229
177.2,0.271486,0.250737
177.3,0.270958,0.250246
177.4,0.27043,0.249757
177.5,0.269904,0.249268
177.6,0.269379,0.24878
177.7,0.268855,0.248294
177.8,0.268332,0.247808
177.9,0.26781,0.247323
178,0.267289,0.24684
178.1,0.266769,0.246357
178.2,0.26625,0.245875
178.3,0.265732,0.245394
178.4,0.265215,0.244914
178.5,0.264699,0.244435
178.6,0.264185,0.243957
178.7,0.263671,0.24348
178.8,0.263158,0.243004
178.9,0.262646,0.242529
179,0.262135,0.242054
179.1,0.261625,0.241581
179.2,0.261116,0.241109
179.3,0.260608,0.240637
179.4,0.260102,0.240167
179.5,0.259596,0.239697
179.6,0.259091,0.239229
179.7,0.258587,0.238761
179.8,0.258084,0.238294
179.9,0.257582,0.237828
180,0.257081,0.237364
180.1,0.256581,0.2369
180.2,0.256082,0.236436
180.3,0.255584,0.235974
180.4,0.255087,0.235513
180.5,0.254591,0.235053
180.6,0.254096,0.234593
180.7,0.253602,0.234135
180.8,0.253109,0.233677
180.9,0.252616,0.233221
181,0.252125,0.232765
181.1,0.251635,0.23231
181.2,0.251146,0.231856
181.3,0.250657,0.231403
181.4,0.25017,0.230951
181.5,0.249683,0.2305
181.6,0.249198,0.23005
181.7,0.248713,0.2296
181.8,0.24823,0.229152
181.9,0.247747,0.228704
182,0.247265,0.228257
182.1,0.246785,0.227811
182.2,0.246305,0.227366
182.3,0.245826,0.226922
182.4,0.245348,0.226479
182.5,0.244871,0.226037
182.6,0.244395,0.225595
182.7,0.24392,0.225154
182.8,0.243445,0.224715
182.9,0.242972,0.224276
183,0.2425,0.223838
183.1,0.242028,0.223401
183.2,0.241558,0.222965
183.3,0.241088,0.222529
183.4,0.240619,0.222095
183.5,0.240152,0.221661
183.6,0.239685,0.221228
183.7,0.239219,0.220796
183.8,0.238754,0.220365
183.9,0.23829,0.219935
184,0.237827,0.219506
184.1,0.237364,0.219077
184.2,0.236903,0.218649
184.3,0.236442,0.218223
184.4,0.235983,0.217797
184.5,0.235524,0.217371
184.6,0.235066,0.216947
184.7,0.234609,0.216524
184.8,0.234153,0.216101
184.9,0.233698,0.215679
185,0.233244,0.215258
185.1,0.232791,0.214838
185.2,0.232338,0.214419
185.3,0.231887,0.214001
185.4,0.231436,0.213583
185.5,0.230986,0.213166
185.6,0.230537,0.21275
185.7,0.230089,0.212335
185.8,0.229642,0.211921
185.9,0.229196,0.211507
186,0.22875,0.211095
186.1,0.228306,0.210683
186.2,0.227862,0.210272
186.3,0.227419,0.209861
186.4,0.226977,0.209452
186.5,0.226536,0.209043
186.6,0.226096,0.208636
186.7,0.225656,0.208229
186.8,0.225218,0.207822
186.9,0.22478,0.207417
187,0.224343,0.207012
187.1,0.223907,0.206609
187.2,0.223472,0.206206
187.3,0.223038,0.205804
187.4,0.222605,0.205402
187.5,0.222172,0.205002
187.6,0.22174,0.204602
187.7,0.22131,0.204203
187.8,0.22088,0.203805
187.9,0.22045,0.203407
188,0.220022,0.20301
188.1,0.219595,0.202615
188.2,0.219168,0.20222
188.3,0.218742,0.201825
188.4,0.218317,0.201432
188.5,0.217893,0.201039
188.6,0.21747,0.200647
188.7,0.217047,0.200256
188.8,0.216625,0.199865
188.9,0.216204,0.199476
189,0.215784,0.199087
189.1,0.215365,0.198699
189.2,0.214947,0.198311
189.3,0.214529,0.197925
189.4,0.214112,0.197539
189.5,0.213696,0.197154
189.6,0.213281,0.19677
189.7,0.212867,0.196386
189.8,0.212453,0.196003
189.9,0.212041,0.195621
190,0.211629,0.19524
190.1,0.211218,0.19486
190.2,0.210807,0.19448
190.3,0.210398,0.194101
190.4,0.209989,0.193723
190.5,0.209581,0.193345
190.6,0.209174,0.192968
190.7,0.208768,0.192592
190.8,0.208362,0.192217
190.9,0.207958,0.191843
191,0.207554,0.191469
191.1,0.20715,0.191096
191.2,0.206748,0.190723
191.3,0.206347,0.190352
191.4,0.205946,0.189981
191.5,0.205546,0.189611
191.6,0.205146,0.189241
191.7,0.204748,0.188873
191.8,0.20435,0.188505
191.9,0.203953,0.188138
192,0.203557,0.187771
192.1,0.203162,0.187405
192.2,0.202767,0.18704
192.3,0.202374,0.186676
192.4,0.201981,0.186312
192.5,0.201588,0.185949
192.6,0.201197,0.185587
192.7,0.200806,0.185226
192.8,0.200416,0.184865
192.9,0.200027,0.184505
193,0.199638,0.184146
193.1,0.199251,0.183787
193.2,0.198864,0.183429
193.3,0.198478,0.183072
193.4,0.198092,0.182716
193.5,0.197707,0.18236
193.6,0.197323,0.182005
193.7,0.19694,0.18165
193.8,0.196558,0.181297
193.9,0.196176,0.180944
194,0.195795,0.180591
194.1,0.195415,0.18024
194.2,0.195036,0.179889
194.3,0.194657,0.179539
194.4,0.194279,0.179189
194.5,0.193902,0.17884
194.6,0.193525,0.178492
194.7,0.193149,0.178145
194.8,0.192774,0.177798
194.9,0.1924,0.177452
195,0.192026,0.177106
195.1,0.191654,0.176762
195.2,0.191281,0.176418
195.3,0.19091,0.176074
195.4,0.190539,0.175731
195.5,0.190169,0.175389
195.6,0.1898,0.175048
195.7,0.189432,0.174707
195.8,0.189064,0.174367
195.9,0.188697,0.174028
196,0.188331,0.173689
196.1,0.187965,0.173351
196.2,0.1876,0.173014
196.3,0.187236,0.172677
196.4,0.186872,0.172341
196.5,0.186509,0.172006
196.6,0.186147,0.171671
196.7,0.185786,0.171337
196.8,0.185425,0.171004
196.9,0.185065,0.170671
197,0.184706,0.170339
197.1,0.184348,0.170008
197.2,0.18399,0.169677
197.3,0.183633,0.169347
197.4,0.183276,0.169017
197.5,0.18292,0.168689
197.6,0.182565,0.16836
197.7,0.182211,0.168033
197.8,0.181857,0.167706
197.9,0.181504,0.16738
198,0.181152,0.167054
198.1,0.1808,0.166729
198.2,0.180449,0.166405
198.3,0.180099,0.166081
198.4,0.179749,0.165758
198.5,0.1794,0.165436
198.6,0.179052,0.165114
198.7,0.178705,0.164793
198.8,0.178358,0.164472
198.9,0.178012,0.164153
199,0.177666,0.163833
199.1,0.177321,0.163515
199.2,0.176977,0.163197
199.3,0.176634,0.162879
199.4,0.176291,0.162563
199.5,0.175949,0.162246
199.6,0.175607,0.161931
199.7,0.175266,0.161616
199.8,0.174926,0.161302
199.9,0.174587,0.160988
200,0.174248,0.160675
